Plate,Replicate,Row,Column,Well,WellType,Drugs,Strains
SR GroRates,3,A,1,A1,EMPTY,NA,NA
SR GroRates,3,B,1,B1,EMPTY,NA,NA
SR GroRates,3,C,1,C1,EMPTY,NA,NA
SR GroRates,3,D,1,D1,EMPTY,NA,NA
SR GroRates,3,E,1,E1,EMPTY,NA,NA
SR GroRates,3,F,1,F1,EMPTY,NA,NA
SR GroRates,3,G,1,G1,EMPTY,NA,NA
SR GroRates,3,H,1,H1,EMPTY,NA,NA
SR GroRates,3,A,2,A2,EMPTY,NA,NA
SR GroRates,3,B,2,B2,DATA,BOTH,R2 G4
SR GroRates,3,C,2,C2,DATA,STP-,R2 G4
SR GroRates,3,D,2,D2,DATA,RIF-,R2 G4
SR GroRates,3,E,2,E2,DATA,RIF+,R2 G4
SR GroRates,3,F,2,F2,DATA,NONE,R2 G4
SR GroRates,3,G,2,G2,DATA,STP+,R2 G4
SR GroRates,3,H,2,H2,EMPTY,NA,NA
SR GroRates,3,A,3,A3,EMPTY,NA,NA
SR GroRates,3,B,3,B3,DATA,BOTH,R2 E10a
SR GroRates,3,C,3,C3,DATA,STP-,R2 E10a
SR GroRates,3,D,3,D3,DATA,RIF-,R2 E10a
SR GroRates,3,E,3,E3,DATA,RIF+,R2 E10a
SR GroRates,3,F,3,F3,DATA,NONE,R2 E10a
SR GroRates,3,G,3,G3,DATA,STP+,R2 E10a
SR GroRates,3,H,3,H3,EMPTY,NA,NA
SR GroRates,3,A,4,A4,EMPTY,NA,NA
SR GroRates,3,B,4,B4,DATA,BOTH,R3 B4
SR GroRates,3,C,4,C4,DATA,STP-,R3 B4
SR GroRates,3,D,4,D4,DATA,RIF-,R3 B4
SR GroRates,3,E,4,E4,DATA,RIF+,R3 B4
SR GroRates,3,F,4,F4,DATA,NONE,R3 B4
SR GroRates,3,G,4,G4,DATA,STP+,R3 B4
SR GroRates,3,H,4,H4,EMPTY,NA,NA
SR GroRates,3,A,5,A5,EMPTY,NA,NA
SR GroRates,3,B,5,B5,DATA,BOTH,R4 F5
SR GroRates,3,C,5,C5,DATA,STP-,R4 F5
SR GroRates,3,D,5,D5,DATA,RIF-,R4 F5
SR GroRates,3,E,5,E5,DATA,RIF+,R4 F5
SR GroRates,3,F,5,F5,DATA,NONE,R4 F5
SR GroRates,3,G,5,G5,DATA,STP+,R4 F5
SR GroRates,3,H,5,H5,EMPTY,NA,NA
SR GroRates,3,A,6,A6,EMPTY,NA,NA
SR GroRates,3,B,6,B6,DATA,BOTH,R1 D2
SR GroRates,3,C,6,C6,DATA,STP-,R1 D2
SR GroRates,3,D,6,D6,DATA,RIF-,R1 D2
SR GroRates,3,E,6,E6,DATA,RIF+,R1 D2
SR GroRates,3,F,6,F6,DATA,NONE,R1 D2
SR GroRates,3,G,6,G6,DATA,STP+,R1 D2
SR GroRates,3,H,6,H6,EMPTY,NA,NA
SR GroRates,3,A,7,A7,EMPTY,NA,NA
SR GroRates,3,B,7,B7,DATA,BOTH,R2 E8
SR GroRates,3,C,7,C7,DATA,STP-,R2 E8
SR GroRates,3,D,7,D7,DATA,RIF-,R2 E8
SR GroRates,3,E,7,E7,DATA,RIF+,R2 E8
SR GroRates,3,F,7,F7,DATA,NONE,R2 E8
SR GroRates,3,G,7,G7,DATA,STP+,R2 E8
SR GroRates,3,H,7,H7,EMPTY,NA,NA
SR GroRates,3,A,8,A8,EMPTY,NA,NA
SR GroRates,3,B,8,B8,DATA,BOTH,R1 F9
SR GroRates,3,C,8,C8,DATA,STP-,R1 F9
SR GroRates,3,D,8,D8,DATA,RIF-,R1 F9
SR GroRates,3,E,8,E8,DATA,RIF+,R1 F9
SR GroRates,3,F,8,F8,DATA,NONE,R1 F9
SR GroRates,3,G,8,G8,DATA,STP+,R1 F9
SR GroRates,3,H,8,H8,EMPTY,NA,NA
SR GroRates,3,A,9,A9,EMPTY,NA,NA
SR GroRates,3,B,9,B9,DATA,BOTH,R1 C4
SR GroRates,3,C,9,C9,DATA,STP-,R1 C4
SR GroRates,3,D,9,D9,DATA,RIF-,R1 C4
SR GroRates,3,E,9,E9,DATA,RIF+,R1 C4
SR GroRates,3,F,9,F9,DATA,NONE,R1 C4
SR GroRates,3,G,9,G9,DATA,STP+,R1 C4
SR GroRates,3,H,9,H9,EMPTY,NA,NA
SR GroRates,3,A,10,A10,EMPTY,NA,NA
SR GroRates,3,B,10,B10,BLANK,BOTH,blank
SR GroRates,3,C,10,C10,BLANK,STP-,blank
SR GroRates,3,D,10,D10,BLANK,RIF-,blank
SR GroRates,3,E,10,E10,BLANK,RIF+,blank
SR GroRates,3,F,10,F10,BLANK,NONE,blank
SR GroRates,3,G,10,G10,BLANK,STP+,blank
SR GroRates,3,H,10,H10,EMPTY,NA,NA
SR GroRates,3,A,11,A11,EMPTY,NA,NA
SR GroRates,3,B,11,B11,DATA,BOTH,R2 E10b
SR GroRates,3,C,11,C11,DATA,STP-,R2 E10b
SR GroRates,3,D,11,D11,DATA,RIF-,R2 E10b
SR GroRates,3,E,11,E11,DATA,RIF+,R2 E10b
SR GroRates,3,F,11,F11,DATA,NONE,R2 E10b
SR GroRates,3,G,11,G11,DATA,STP+,R2 E10b
SR GroRates,3,H,11,H11,EMPTY,NA,NA
SR GroRates,3,A,12,A12,EMPTY,NA,NA
SR GroRates,3,B,12,B12,EMPTY,NA,NA
SR GroRates,3,C,12,C12,EMPTY,NA,NA
SR GroRates,3,D,12,D12,EMPTY,NA,NA
SR GroRates,3,E,12,E12,EMPTY,NA,NA
SR GroRates,3,F,12,F12,EMPTY,NA,NA
SR GroRates,3,G,12,G12,EMPTY,NA,NA
SR GroRates,3,H,12,H12,EMPTY,NA,NA
