Plate,Replicate,Row,Column,Well,WellType,Drugs,Strains
SR_Gro2,2,A,1,A1,EMPTY,NA,NA
SR_Gro2,2,B,1,B1,EMPTY,NA,NA
SR_Gro2,2,C,1,C1,EMPTY,NA,NA
SR_Gro2,2,D,1,D1,EMPTY,NA,NA
SR_Gro2,2,E,1,E1,EMPTY,NA,NA
SR_Gro2,2,F,1,F1,EMPTY,NA,NA
SR_Gro2,2,G,1,G1,EMPTY,NA,NA
SR_Gro2,2,H,1,H1,EMPTY,NA,NA
SR_Gro2,2,A,2,A2,EMPTY,NA,NA
SR_Gro2,2,B,2,B2,DATA,NONE,R4 G5
SR_Gro2,2,C,2,C2,DATA,RIF-,R4 G5
SR_Gro2,2,D,2,D2,DATA,BOTH,R4 G5
SR_Gro2,2,E,2,E2,DATA,STP-,R4 G5
SR_Gro2,2,F,2,F2,DATA,RIF+,R4 G5
SR_Gro2,2,G,2,G2,DATA,STP+,R4 G5
SR_Gro2,2,H,2,H2,EMPTY,NA,NA
SR_Gro2,2,A,3,A3,EMPTY,NA,NA
SR_Gro2,2,B,3,B3,DATA,NONE,R4 G6
SR_Gro2,2,C,3,C3,DATA,RIF-,R4 G6
SR_Gro2,2,D,3,D3,DATA,BOTH,R4 G6
SR_Gro2,2,E,3,E3,DATA,STP-,R4 G6
SR_Gro2,2,F,3,F3,DATA,RIF+,R4 G6
SR_Gro2,2,G,3,G3,DATA,STP+,R4 G6
SR_Gro2,2,H,3,H3,EMPTY,NA,NA
SR_Gro2,2,A,4,A4,EMPTY,NA,NA
SR_Gro2,2,B,4,B4,DATA,NONE,AB3-P
SR_Gro2,2,C,4,C4,DATA,RIF-,AB3-P
SR_Gro2,2,D,4,D4,DATA,BOTH,AB3-P
SR_Gro2,2,E,4,E4,DATA,STP-,AB3-P
SR_Gro2,2,F,4,F4,DATA,RIF+,AB3-P
SR_Gro2,2,G,4,G4,DATA,STP+,AB3-P
SR_Gro2,2,H,4,H4,EMPTY,NA,NA
SR_Gro2,2,A,5,A5,EMPTY,NA,NA
SR_Gro2,2,B,5,B5,EMPTY,NONE,EMPTY
SR_Gro2,2,C,5,C5,EMPTY,RIF-,EMPTY
SR_Gro2,2,D,5,D5,EMPTY,BOTH,EMPTY
SR_Gro2,2,E,5,E5,EMPTY,STP-,EMPTY
SR_Gro2,2,F,5,F5,EMPTY,RIF+,EMPTY
SR_Gro2,2,G,5,G5,EMPTY,STP+,EMPTY
SR_Gro2,2,H,5,H5,EMPTY,NA,NA
SR_Gro2,2,A,6,A6,EMPTY,NA,NA
SR_Gro2,2,B,6,B6,EMPTY,NONE,EMPTY
SR_Gro2,2,C,6,C6,EMPTY,RIF-,EMPTY
SR_Gro2,2,D,6,D6,EMPTY,BOTH,EMPTY
SR_Gro2,2,E,6,E6,EMPTY,STP-,EMPTY
SR_Gro2,2,F,6,F6,EMPTY,RIF+,EMPTY
SR_Gro2,2,G,6,G6,EMPTY,STP+,EMPTY
SR_Gro2,2,H,6,H6,EMPTY,NA,NA
SR_Gro2,2,A,7,A7,EMPTY,NA,NA
SR_Gro2,2,B,7,B7,DATA,NONE,AB3-C
SR_Gro2,2,C,7,C7,DATA,RIF-,AB3-C
SR_Gro2,2,D,7,D7,DATA,BOTH,AB3-C
SR_Gro2,2,E,7,E7,DATA,STP-,AB3-C
SR_Gro2,2,F,7,F7,DATA,RIF+,AB3-C
